Unnamed: 0,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARY_MILLIONS
0,1,Russell Westbrook,PG,28,34.6,10.2,24.0,425,2.5,7.2,343,7.7,16.8,459,476,8.8,10.4,845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,OKC,81,34.6,46,26.5
1,2,James Harden,PG,27,36.4,8.3,18.9,0.44,3.2,9.3,0.34700000000000003,5.1,9.6,0.53,525,9.2,10.9,847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,HOU,81,36.4,54,26.5
2,3,Isaiah Thomas,PG,27,33.8,9.0,19.4,463,3.2,8.5,379,5.8,10.9,528,546,7.8,8.5,909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,BOS,76,33.8,51,6.59
3,4,Anthony Davis,C,23,36.1,10.3,20.3,505,0.5,1.8,299,9.7,18.6,524,518,6.9,8.6,802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,NO,75,36.1,31,22.12
4,6,DeMarcus Cousins,C,26,34.2,9.0,19.9,452,1.8,5.0,361,7.2,14.8,483,498,7.2,9.3,772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,NO/SAC,72,34.2,30,16.96
5,7,Damian Lillard,PG,26,35.9,8.8,19.8,444,2.9,7.7,0.37,6.0,12.1,0.4920000000000001,516,6.5,7.3,895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,POR,75,35.9,38,24.33
6,8,LeBron James,SF,32,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,363,8.3,13.5,611,594,4.8,7.2,674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,CLE,74,37.8,51,30.96
7,9,Kawhi Leonard,SF,25,33.4,8.6,17.7,485,2.0,5.2,0.38,6.6,12.5,529,541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,SA,74,33.4,54,17.64
8,10,Stephen Curry,PG,28,33.4,8.5,18.3,468,4.1,10.0,411,4.4,8.3,537,0.58,4.1,4.6,898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,GS,79,33.4,65,12.11
9,11,Kyrie Irving,PG,24,35.1,9.3,19.7,473,2.5,6.1,401,6.9,13.6,505,535,4.1,4.6,905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,CLE,72,35.1,47,17.64
10,12,Kevin Durant,SF,28,33.4,8.9,16.5,537,1.9,5.0,375,7.0,11.5,608,594,5.4,6.2,875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,GS,62,33.4,51,26.5
11,13,Karl-Anthony Towns,C,21,37.0,9.8,18.0,542,1.2,3.4,0.3670000000000001,8.5,14.7,0.5820000000000001,0.5760000000000001,4.3,5.2,0.8320000000000001,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,MIN,82,37.0,31,5.96
